companyID,movieID,companyname
4319,34152,40 Acres & A Mule Filmworks
14,9495,Miramax Films
4028,9495,Crowvision Inc.
4029,9495,Entertainment Media Investment Corporation
4030,9495,Jeff Most Productions
6455,9495,Edward R. Pressman Film
508,29973,Regency Enterprises
644,29973,Alcor Films
6194,29973,Warner Bros.
16823,29973,Aleor Films
33,888,Universal Pictures
56,888,Amblin Entertainment
1353,888,Hanna-Barbera Productions
4,13,Paramount Pictures
181,712,Channel Four Films
1382,712,PolyGram Filmed Entertainment
10163,712,Working Title Films
441,16295,Columbia Pictures Corporation
1947,16295,New Deal Productions
441,48992,Columbia Pictures Corporation
37294,48992,Think Again Productions
37295,48992,Riot of Color
175,10879,Caravan Pictures
9195,10879,Touchstone Pictures
559,10660,TriStar Pictures
181,41647,Channel Four Films
201,41647,Arte
4606,41647,Zweites Deutsches Fernsehen (ZDF)
12914,41647,Nomad Films
12915,41647,Omega Film GmbH
12916,41647,Without Walls
2,8587,Walt Disney Pictures
10217,8587,Walt Disney Feature Animation
14,1689,Miramax Films
12,11596,New Line Cinema
12,854,New Line Cinema
552,854,Dark Horse Entertainment
4564,9359,Icon Entertainment International
6194,9359,Warner Bros.
8,23333,Fine Line Features
14,23333,Miramax Films
4,36593,Paramount Pictures
23,12280,Imagine Entertainment
33,12280,Universal Pictures
33,2788,Universal Pictures
216,2788,Jersey Films
278,10427,Propaganda Films
1382,10427,PolyGram Filmed Entertainment
1302,11011,Davis Entertainment
1885,11011,Silver Pictures
6194,11011,Warner Bros.
12,49803,New Line Cinema
33,8987,Universal Pictures
496,8987,David Foster Productions
662,8987,Turman-Foster Company
306,1637,Twentieth Century Fox Film Corporation
8411,15128,Metro-Goldwyn-Mayer (MGM)
33,8831,Universal Pictures
467,8831,Renaissance Pictures
552,8831,Dark Horse Entertainment
1644,8831,Largo Entertainment
2982,8831,Signature Pictures
4248,8831,JVC Entertainment Networks
306,36955,Twentieth Century Fox Film Corporation
574,36955,Lightstorm Entertainment
9195,10449,Touchstone Pictures
5,10395,Columbia Pictures
335,12160,Tig Productions
6194,12160,Warner Bros.
13040,12160,Kasdan Pictures
24217,12160,Paragon Entertainment Corp.
9195,40480,Touchstone Pictures
21857,40480,Tool Shed Productions
288,52038,BBC Films
2630,52038,Majestic Films International
11358,52038,Little Bird
37,29444,Gramercy Pictures
1382,29444,PolyGram Filmed Entertainment
175,26352,Caravan Pictures
915,26352,Hollywood Pictures
3923,39953,Strand Releasing
25583,39953,Strand Home Video
170,315,Eve Productions Inc.
6215,18242,Bolex Brothers
6216,18242,Lumen Films
6217,18242,Tara
33,11667,Universal Pictures
7220,11667,Capcom
278,32502,Propaganda Films
11061,32502,Motion Picture Corporation of America (MPCA)
31080,32502,Polygram Filmed Entertainment
33419,32502,Snowback Productions
285,28732,Live Entertainment
826,28732,Capitol Films
16835,28732,Bates Entertainmant
14280,75555,A-Pix Entertainment
37300,75555,Devin Entertainment
2,42981,Walt Disney Pictures
90509,42981,Theodore Thomas Productions
888,278939,Overseas FilmGroup
38179,291731,Skyline Entertainment Partners
38289,291731,Arrow
3268,203119,Home Box Office (HBO)
38276,203119,Frozen Rope Productions Inc.
2662,8011,Trans-Film
22240,8011,Initial Groupe
25129,8011,Lumière Pictures
30655,8011,Fallingcloud
12,2654,New Line Cinema
12,18069,New Line Cinema
12,19092,New Line Cinema
4,2758,Paramount Pictures
41,2758,Orion Pictures
258,2758,Scott Rudin Productions
21222,38129,HBO Independent Productions
5,10436,Columbia Pictures
306,13595,Twentieth Century Fox Film Corporation
1595,13595,Island World
3929,13595,Robert Simonds Productions
915,46094,Hollywood Pictures
1382,46094,PolyGram Filmed Entertainment
10201,46094,Interscope Communications
12883,46094,Nomura Babcock & Brown
82606,46094,NBB Unit One Film Partners
82607,46094,Longview Entertainment
9195,9409,Touchstone Pictures
306,11853,Twentieth Century Fox Film Corporation
89311,11853,"Ruddy Morgan Organization, The"
8,16771,Fine Line Features
97,16771,Castle Rock Entertainment
16737,16771,Barcelona Films
6194,46924,Warner Bros.
7049,46924,Enigma Productions
58750,46924,BSB
79560,46924,NatWest Ventures
79561,46924,Fujisankei
306,11041,Twentieth Century Fox Film Corporation
4,306,Paramount Pictures
30,306,Eddie Murphy Productions
6194,14522,Warner Bros.
12,26203,New Line Cinema
2231,178,Trilogy Entertainment Group
8411,178,Metro-Goldwyn-Mayer (MGM)
4,19819,Paramount Pictures
14150,57834,Orion Pictures Corporation
18070,57834,Heathrow Productions
6194,4722,Warner Bros.
10098,4722,Dorset Productions
10099,4722,Robert H. Solo Productions
70969,18215,Mainline Pictures
7429,1607,HBO Films
11308,1607,Savoy Pictures
9195,26391,Touchstone Pictures
5,117553,Columbia Pictures
